,line_name,alert_ids,full_text,start_time,end_time,reasons_set,mins_delay,reason_0,reason_1
10,CR-Kingston,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
11,CR-Fitchburg,465189, Fitchburg Line Train 2400 (5:00 am from Wachusett) is operating 5-10 minutes behind schedule between Concord and North Station.,2022-10-02 06:03:38,2022-10-02 07:34:00,None,5-10,,
12,CR-Fitchburg,465218, Please board Fitchburg Line Train 2408 (2:00 pm from Wachusett) on the outbound platform at Waverley and Belmont today.,2022-10-02 14:21:46,2022-10-02 16:34:00,None,,,
13,CR-Haverhill,465240, Haverhill Line Train 2212 (6:35 pm from Haverhill) is stopped after Lawrence and is 15-25 minutes behind schedule due to a mechanical issue. Haverhill Line Train 2212 (6:35 pm from Haverhill) is stopped after Lawrence and is 25-35 minutes behind schedule due to a mechanical issue. Haverhill Line Train 2212 (6:35 pm from Haverhill) is stopped after Lawrence and is 35-45 minutes behind schedule due to a mechanical issue.,2022-10-02 19:06:18,2022-10-02 20:43:00,{'mechanical issue'},35-45,mechanical issue,
14,CR-Haverhill,465242, Haverhill Line Train 2212 (6:35 pm from Haverhill) has been terminated at Lawrence today due to a mechanical issue. Passengers will be assisted by Amtrak Train 698 for continued inbound service to North Station.,2022-10-02 19:45:13,2022-10-02 20:43:00,{'mechanical issue'},,mechanical issue,
15,CR-Fairmount,465297, Fairmount Line Train 917 (11:00 am from South Station) has not yet departed South Station and is 15-25 minutes late due to a mechanical issue. Fairmount Line Train 917 (11:00 am from South Station) has departed South Station and is operating 15-25 minutes late due to a mechanical issue. Fairmount Line Train 917 (11:00 am from South Station) has departed South Station and is operating 15-25 minutes late due to a mechanical issue.,2022-10-03 11:19:29,2022-10-03 12:30:00,{'mechanical issue'},15-25,mechanical issue,
16,CR-Fairmount,465298, Fairmount Line Train 918 (11:45 am from Readville) is expected to depart from Readville 5-15 minutes behind schedule due to the late arrival of Train 917. Fairmount Line Train 918 (11:45 am from Readville) has departed from Readville and is operating 5-15 minutes behind schedule due to the late arrival of Train 917.,2022-10-03 11:45:00,2022-10-03 13:15:00,{'late arrival of train'},5-15,late arrival of train,
17,CR-Fairmount,465304, Fairmount Line Train 921 (12:30 pm from South Station) is operating 10-20 minutes behind schedule between South Station and Readville due to police activity. Fairmount Line Train 921 (12:30 pm from South Station) is operating 20-30 minutes behind schedule between Morton Street and Readville due to police activity.,2022-10-03 12:56:52,2022-10-03 14:00:00,None,20-30,,
18,CR-Fairmount,465310, Fairmount Line Train 922 (1:15 pm from Readville) is expected to depart from Readville 10-20 minutes behind schedule due to the late arrival of Train 921. Fairmount Line Train 922 (1:15 pm from Readville) has departed from Readville and is operating 10-20 minutes behind schedule due to the late arrival of Train 921.,2022-10-03 13:15:00,2022-10-03 14:45:00,{'late arrival of train'},10-20,late arrival of train,
19,CR-Fairmount,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
20,CR-Franklin,465238," From Monday, October 3rd through Friday, October 7th, Needham, Franklin/Foxboro, and Providence/Stoughton Line trains may experience delays up to 10-15 minutes due to ongoing work above the tracks and platform at Forest Hills.",2022-10-03 04:30:00,2022-10-08 02:30:00,None,10-15,,
21,CR-Franklin,465258, Foxboro Line Train 743 (6:45 am from South Station) is operating 5-10 minutes behind schedule between Endicott and Foxboro due to area track work.,2022-10-03 07:19:06,2022-10-03 08:34:00,{'track work'},5-10,track work,
22,CR-Franklin,465264, Franklin Line Train 704 (7:12 am from Forge Park/495) is operating 5-10 minutes behind schedule between Norwood Depot and South Station due to area track work.,2022-10-03 07:54:36,2022-10-03 09:20:00,{'track work'},5-10,track work,
23,CR-Franklin,465285, Foxboro Line Train 746 (8:54 am from Foxboro) is operating 5-10 minutes late between Readville and South Station due to train traffic. Foxboro Line Train 746 (8:54 am from Foxboro) is now operating 10-15 minutes late between Readville and South Station due to train traffic.,2022-10-03 09:40:01,2022-10-03 10:46:00,{'train traffic'},10-15,train traffic,
24,CR-Franklin,465306, Foxboro Line Train 751 (12:45 pm from South Station) is operating 10-20 minutes late  between Ruggles and Foxboro due to police activity.,2022-10-03 13:02:32,2022-10-03 14:34:00,None,10-20,,
25,CR-Franklin,465315, Franklin Line Train 716 (1:12 pm from Forge Park/495) is operating 5-15 minutes late between Norwood Central and South Station.,2022-10-03 13:56:35,2022-10-03 15:16:00,None,5-15,,
26,CR-Franklin,465319, Franklin Line Train 715 (1:45 pm from South Station) is operating 5-15 minutes behind schedule between Ruggles and Forge Park/495.,2022-10-03 14:14:11,2022-10-03 15:47:00,None,5-15,,
27,CR-Franklin,465325, Foxboro Line Train 752 (2:20 pm from Foxboro) is operating 5-15 minutes behind schedule between Windsor Gardens and South Station due to train traffic.,2022-10-03 14:47:31,2022-10-03 16:13:00,{'train traffic'},5-15,train traffic,
28,CR-Franklin,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
29,CR-Franklin,465385, Franklin Line Train 723 (5:45 pm from South Station) is operating 5-10 minutes behind schedule between Norwood Central and Forge Park.,2022-10-03 18:36:26,2022-10-03 19:52:00,None,5-10,,
30,CR-Franklin,465388, Franklin Line Train 725 (6:45 pm from South Station) is operating 5-15 minutes behind schedule between Islington and Forge Park.,2022-10-03 19:25:36,2022-10-03 20:50:00,None,5-15,,
31,CR-Franklin,465394, Foxboro Line Train 760 (7:25 pm from Foxboro) is operating 5-15 minutes behind schedule between Foxboro and South Station due to train traffic.,2022-10-03 19:44:16,2022-10-03 21:17:00,{'train traffic'},5-15,train traffic,
32,CR-Franklin,465409, Franklin Line Train 761 (9:10 pm from South Station) is operating 5-10 minutes behind schedule between Ruggles and Forge Park.,2022-10-03 21:33:58,2022-10-03 22:59:00,None,5-10,,
33,CR-Franklin,465412, Franklin Line Train 728 (9:35 pm from Forge Park/495) is operating 5-15 minutes behind schedule between Walpole and South Station due to train traffic.,2022-10-03 22:07:23,2022-10-03 23:39:00,{'train traffic'},5-15,train traffic,
34,CR-Greenbush,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
35,CR-Greenbush,465374, Greenbush Line Train 088 (3:42 pm from Greenbush) is operating 5-10 minutes behind schedule between Quincy Center and South Station.,2022-10-03 16:49:51,2022-10-03 17:56:00,None,5-10,,
36,CR-Greenbush,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
37,CR-Kingston,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
38,CR-Kingston,465352, Kingston Line Train 057 (4:33 pm from South Station) is expected to depart South Station 5-15 minutes behind schedule due to a late swap of equipment. Kingston Line Train 057 (4:33 pm from South Station) has departed South Station and is 5-10 minutes behind schedule due to a late swap of equipment.,2022-10-03 16:33:00,2022-10-03 18:33:00,None,5-10,,
39,CR-Kingston,465376, Kingston Line Train 058 (4:07 pm from Kingston) is operating 5-15 minutes behind schedule between Braintree and South Station due to train traffic.,2022-10-03 17:03:49,2022-10-03 18:18:00,{'train traffic'},5-15,train traffic,
40,CR-Kingston,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
41,CR-Fitchburg,465276, Fitchburg Line Train 408 (8:25 am from Wachusett) is operating 5-10 minutes behind schedule between Ayer and North Station. Fitchburg Line Train 408 (8:25 am from Wachusett) is operating 5-10 minutes behind schedule between Ayer and North Station.,2022-10-03 09:03:26,2022-10-03 10:59:00,None,5-10,,
42,CR-Fitchburg,465281, Please board all Fitchburg Line trains on the inbound platform (Track 2) at Belmont and Waverley until further notice today.,2022-10-03 09:35:13,2022-10-03 17:40:11,None,,,
43,CR-Fitchburg,465288, Fitchburg Line Train 407 (8:30 am from North Station) is operating 5-15 minutes behind schedule between Ayer and Wachusett. Fitchburg Line Train 407 (8:30 am from North Station) is now operating 15-25 minutes behind schedule between Ayer and Wachusett due to area track work.,2022-10-03 09:45:07,2022-10-03 11:07:00,{'track work'},15-25,track work,
44,CR-Fitchburg,465291, Fitchburg Line Train 409 (9:30 am from North Station) is operating 5-10 minutes late between Porter Square and Littleton/Route 495 due to train traffic.,2022-10-03 09:55:25,2022-10-03 11:25:00,{'train traffic'},5-10,train traffic,
45,CR-Fitchburg,465292, Fitchburg Line Train 410 (9:25 am from Wachusett) is operating 5-10 minutes behind schedule between Ayer and North Station due to train traffic.,2022-10-03 10:04:28,2022-10-03 11:59:00,{'train traffic'},5-10,train traffic,
46,CR-Fitchburg,465296, Fitchburg Line Train 411 (10:30 am from North Station) is operating 5-15 minutes behind schedule between Porter and Wachusett due to train traffic.,2022-10-03 10:55:01,2022-10-03 13:07:00,{'train traffic'},5-15,train traffic,
47,CR-Fitchburg,465300, Fitchburg Line Train 413 (11:30 am from North Station) is operating 5-10 minutes late between Belmont and Wachusett due to train traffic. Fitchburg Line Train 413 (11:30 am from North Station) is operating 5-10 minutes late between Waverley and Littleton/Route 495 due to train traffic.,2022-10-03 11:57:44,2022-10-03 13:25:00,{'train traffic'},5-10,train traffic,
48,CR-Fitchburg,465328, Fitchburg Line Train 419 (2:30 pm from North Station) is operating 5-15 minutes behind schedule between Waverley and Wachusett.,2022-10-03 15:00:07,2022-10-03 17:07:00,None,5-15,,
49,CR-Fitchburg,465339, Normal boarding has resumed for all Fitchburg Line Trains at Belmont and Waverley.,2022-10-03 15:40:00,2022-10-03 19:37:38,None,,,
50,CR-Fitchburg,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
51,CR-Fitchburg,465382, Fitchburg Line Train 425 (5:30 pm from North Station) is operating 5-10 minutes behind schedule between Waltham and Wachusett.,2022-10-03 18:02:12,2022-10-03 20:10:00,None,5-10,,
52,CR-Fitchburg,465389, Fitchburg Line Train 427 (6:30 pm from North Station) is operating 5-10 minutes behind schedule between West Concord and Wachusett.,2022-10-03 19:28:51,2022-10-03 21:08:00,None,5-10,,
53,CR-Haverhill,465249, Haverhill Line Train 201 (5:55 am from North Station) is operating 5-10 minutes behind schedule between North Station and Haverhill.,2022-10-03 06:08:13,2022-10-03 08:07:00,None,5-10,,
54,CR-Haverhill,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
55,CR-Lowell,465294, Please board all Lowell Line trains on the inbound platform (Track 2) at West Medford and Wedgemere until 3:30 pm today.,2022-10-03 10:30:21,2022-10-03 15:30:00,None,,,
56,CR-Lowell,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
57,CR-Needham,465238," From Monday, October 3rd through Friday, October 7th, Needham, Franklin/Foxboro, and Providence/Stoughton Line trains may experience delays up to 10-15 minutes due to ongoing work above the tracks and platform at Forest Hills.",2022-10-03 04:30:00,2022-10-08 02:30:00,None,10-15,,
58,CR-Needham,465309, Needham Line Train 615 (12:50 pm from South Station) is operating 5-15 minutes behind schedule between Ruggles and Needham Heights due to train traffic.,2022-10-03 13:13:48,2022-10-03 14:35:00,{'train traffic'},5-15,train traffic,
59,CR-Needham,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
60,CR-Fairmount,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
61,CR-Fairmount,465562, Fairmount Line Train 933 (5:00 pm from South Station) is operating 5-10 minutes behind schedule between South Station and Readville due to an earlier unruly passenger.,2022-10-04 17:18:44,2022-10-04 18:30:00,None,5-10,,
62,CR-Franklin,465238," From Monday, October 3rd through Friday, October 7th, Needham, Franklin/Foxboro, and Providence/Stoughton Line trains may experience delays up to 10-15 minutes due to ongoing work above the tracks and platform at Forest Hills.",2022-10-03 04:30:00,2022-10-08 02:30:00,None,10-15,,
63,CR-Franklin,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
64,CR-Franklin,465419, Foxboro Line Train 741 (5:45 am from South Station) has not yet departed from South Station and is 5-15 minutes behind schedule due to a late swap of equipment. Foxboro Line Train 741 (5:45 am from South Station) has departed from South Station and is operating 5-15 minutes behind schedule due to a late swap of equipment. Foxboro Line Train 741 (5:45 am from South Station) is now operating 15-25 minutes behind schedule between Ruggles and Foxboro due to a late swap of equipment.,2022-10-04 05:53:10,2022-10-04 07:34:00,None,15-25,,
65,CR-Franklin,465425, Foxboro Line Train 742 (6:49 am from Foxboro) is expected to depart from Foxboro 10-20 minutes behind schedule due to the late arrival of Train 741. Foxboro Line Train 742 (6:49 am from Foxboro) has departed from Foxboro and is operating 5-15 minutes behind schedule due to the late arrival of Train 741. Foxboro Line Train 742 (6:49 am from Foxboro) is now operating 15-25 minutes behind schedule between Ruggles and South Station due to the late arrival of Train 741.,2022-10-04 06:49:00,2022-10-04 08:43:00,{'late arrival of train'},15-25,late arrival of train,
66,CR-Franklin,465426, Foxboro Line Train 740 (5:49 am from Foxboro) is operating 5-10 minutes late between Readville and South Station due to train traffic.,2022-10-04 06:43:01,2022-10-04 07:43:00,{'train traffic'},5-10,train traffic,
67,CR-Franklin,465428, Franklin Line Train 702 (6:12 am from Forge Park/495) is operating 5-15 minutes behind schedule between Norfolk and South Station due to train traffic. Franklin Line Train 702 (6:12 am from Forge Park/495) is now operating 15-25 minutes behind schedule between Walpole and South Station due to train traffic.,2022-10-04 06:44:14,2022-10-04 08:20:00,{'train traffic'},15-25,train traffic,
68,CR-Franklin,465434, Franklin Line Train 702 (6:12 am from Forge Park/495) is now operating 15-25 minutes behind schedule between Walpole and South Station due to train traffic.,2022-10-04 07:11:27,2022-10-04 08:00:00,{'train traffic'},15-25,train traffic,
69,CR-Franklin,465462, Franklin Line Train 706 (8:12 am from Forge Park/495) is operating 5-10 minutes late between Norwood Central and South Station. Franklin Line Train 706 (8:12 am from Forge Park/495) is operating 5-10 minutes late between Norwood Central and South Station due to train traffic. Franklin Line Train 706 (8:12 am from Forge Park/495) is now operating 10-20 minutes late between Endicott and South Station due to train traffic.,2022-10-04 08:55:40,2022-10-04 10:20:00,{'train traffic'},10-20,train traffic,
70,CR-Franklin,465476, Franklin Line Train 707 (9:45 am from South Station) is operating 5-15 minutes behind schedule between Ruggles and Forge Park/495 due to a signal issue. Franklin Line Train 707 (9:45 am from South Station) is now operating 15-25 minutes behind schedule between Ruggles and Forge Park/495 due to a signal issue.,2022-10-04 10:05:22,2022-10-04 11:47:00,{'signal issue'},15-25,signal issue,
71,CR-Franklin,465553, Foxboro Line Train 755 (4:10 pm from South Station) is operating 5-10 minutes behind schedule between Readville and Foxboro.,2022-10-04 16:40:13,2022-10-04 18:08:00,None,5-10,,
72,CR-Franklin,465563, Franklin Line Train 721 (4:45 pm from South Station) is operating 10-15 minutes behind schedule between Norwood Depot and Forge Park.,2022-10-04 17:31:39,2022-10-04 18:52:00,None,10-15,,
73,CR-Franklin,465571, Franklin Line Train 724 (5:07 pm from Forge Park/495) is operating 5-15 minutes behind schedule between Walpole and South Station.,2022-10-04 17:51:17,2022-10-04 19:13:00,None,5-15,,
74,CR-Franklin,465581, Franklin Line Train 723 (5:45 pm from South Station) is operating 5-15 minutes behind schedule between Islington and Forge Park/495. Franklin Line Train 723 (5:45 pm from South Station) is operating 5-15 minutes behind schedule between Islington and Forge Park/495.,2022-10-04 18:27:24,2022-10-04 19:52:00,None,5-15,,
75,CR-Franklin,465587, Franklin Line Train 725 (6:45 pm from South Station) is expected to depart South Station 5-15 minutes behind schedule due to the late arrival of equipment. Franklin Line Train 725 (6:45 pm from South Station) has departed South Station and is operating 5-10 minutes behind schedule due to the late arrival of equipment.,2022-10-04 18:45:00,2022-10-04 20:50:00,{'late arrival of equipment'},5-10,late arrival of equipment,
76,CR-Franklin,465602, Franklin/Foxboro Line Train 760 (7:25 pm from Foxboro) is operating 5-15 minutes behind schedule between Forxboro and South Station due to train traffic.,2022-10-04 19:46:37,2022-10-04 21:17:00,{'train traffic'},5-15,train traffic,
77,CR-Greenbush,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
78,CR-Greenbush,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
79,CR-Greenbush,465448, Greenbush Line Train 073 (8:00 am from South Station) has not departed from South Station and is 5-15 minutes behind schedule due to the late arrival of equipment. Greenbush Line Train 073 (8:00 am from South Station) has departed from South Station and is operating 5-15 minutes behind schedule due to the late arrival of equipment.,2022-10-04 08:06:10,2022-10-04 10:04:00,{'late arrival of equipment'},5-15,late arrival of equipment,
80,CR-Greenbush,465521, Greenbush Line Train 085 (3:15 pm from South Station) is operating 5-15 minutes behind schedule between JFK/UMass and Greenbush. Greenbush Line Train 085 (3:15 pm from South Station) is operating 5-15 minutes behind schedule between JFK/UMass and Greenbush.,2022-10-04 15:36:39,2022-10-04 17:18:00,None,5-15,,
81,CR-Greenbush,465548, Greenbush Line Train 088 (3:42 pm from Greenbush) is operating 10-15 minutes behind schedule between Cohasset and South Station due to train traffic.,2022-10-04 16:18:15,2022-10-04 17:56:00,{'train traffic'},10-15,train traffic,
82,CR-Kingston,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
83,CR-Kingston,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
84,CR-Kingston,465526, Kingston Line Train 056 (2:52 pm from Kingston) is operating 5-15 minutes behind schedule between Braintree and South Station due to train traffic.,2022-10-04 15:46:26,2022-10-04 16:57:00,{'train traffic'},5-15,train traffic,
85,CR-Kingston,465531, Kingston Line Train 055 (3:33 pm from South Station) is operating 5-15 minutes behind schedule between JFK/UMass and Kingston.,2022-10-04 15:58:56,2022-10-04 17:33:00,None,5-15,,
86,CR-Kingston,465554, Kingston Line Train 058 (4:07 pm from Kingston) is operating 5-15 minutes behind schedule between Hanson and South Station. Kingston Line Train 058 (4:07 pm from Kingston) is operating 5-15 minutes behind schedule between Hanson and South Station.,2022-10-04 16:41:08,2022-10-04 18:18:00,None,5-15,,
87,CR-Kingston,465561, Kingston Line Train 057 (4:33 pm from South Station) is operating 5-10 minutes behind schedule between Braintree and Kingston due to train traffic.,2022-10-04 17:07:25,2022-10-04 18:33:00,{'train traffic'},5-10,train traffic,
88,CR-Fitchburg,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
89,CR-Fitchburg,465447, Fitchburg Line Train 405 (7:30 am from North Station) is operating 5-15 minutes late between Waltham and Wachusett due to train traffic. Fitchburg Line Train 405 (7:30 am from North Station) is operating 15-25 minutes late between Kendal Green and Wachusett due to a signal issue.,2022-10-04 08:05:15,2022-10-04 10:07:00,"{'signal issue', 'train traffic'}",15-25,signal issue,train traffic
90,CR-Fitchburg,465449, Fitchburg Line Train 406 (7:25 am from Wachusett) is operating 5-15 minutes behind schedule between Ayer and North Station.,2022-10-04 08:07:58,2022-10-04 10:01:00,None,5-15,,
91,CR-Fitchburg,465465, Fitchburg Line Train 410 (9:25 am from Wachusett) is expected to depart from Wachusett 5-15 minutes behind schedule due to the late arrival of Train 405. Fitchburg Line Train 410 (9:25 am from Wachusett) has departed from Wachusett and is operating 10-20 minutes behind schedule due to the late arrival of Train 405.,2022-10-04 09:25:00,2022-10-04 11:59:00,{'late arrival of train'},10-20,late arrival of train,
92,CR-Fitchburg,465468, Please board all Fitchburg Line trains on the inbound platform (Track 2) at Belmont and Waverley today. Normal boarding has resumed for all Fitchburg Line trains at Belmont and Waverley.,2022-10-04 09:09:54,2022-10-04 20:27:36,None,,,
93,CR-Fitchburg,465475, Fitchburg Line Train 409 (9:30 am from North Station) is operating 5-10 minutes behind schedule between Waltham and Littleton/Route 495.,2022-10-04 10:03:46,2022-10-04 11:25:00,None,5-10,,
94,CR-Fitchburg,465489, Fitchburg Line Train 411 (10:30 am from North Station) is operating 5-15 minutes behind schedule between Porter and Wachusett. Fitchburg Line Train 411 (10:30 am from North Station) is now operating 15-25 minutes behind schedule between Waltham and Wachusett due to train traffic. Fitchburg Line Train 411 (10:30 am from North Station) is now operating 10-20 minutes behind schedule between South Acton and Wachusett due to train traffic.,2022-10-04 10:56:47,2022-10-04 13:07:00,{'train traffic'},10-20,train traffic,
95,CR-Fitchburg,465501, Please board all Fitchburg Line trains on the inbound platform (Track 2) at Brandeis/Roberts today. Please board all Fitchburg Line trains on the inbound platform (Track 2) at Brandeis/Roberts today.,2022-10-04 12:51:49,2022-10-05 02:30:00,None,,,
96,CR-Fitchburg,465502, Fitchburg Line Train 416 (12:25 pm from Wachusett) is operating 5-10 minutes late between West Concord and North Station.,2022-10-04 13:21:32,2022-10-04 14:59:00,None,5-10,,
97,CR-Fitchburg,465506, Fitchburg Line Train 417 (1:30 pm from North Station) is operating 5-10 minutes behind schedule between Belmont and Wachusett due to train traffic.,2022-10-04 13:56:06,2022-10-04 16:07:00,{'train traffic'},5-10,train traffic,
98,CR-Fitchburg,465535, Fitchburg Line Train 421 (3:30 pm from North Station) is operating 5-10 minutes behind schedule between Waltham and Wachusett. Fitchburg Line Train 421 (3:30 pm from North Station) is operating 5-10 minutes behind schedule between Waltham and Wachusett.,2022-10-04 16:05:35,2022-10-04 18:08:00,None,5-10,,
99,CR-Fitchburg,465559, Fitchburg Line Train 423 (4:30 pm from North Station) is operating 5-15 minutes behind schedule between Waltham and Wachusett.,2022-10-04 17:03:29,2022-10-04 19:10:00,None,5-15,,
100,CR-Fitchburg,465566, Fitchburg Line Train 424 (4:25 pm from Wachusett) is operating 5-10 minutes behind schedule between Kendal Green and North Station.,2022-10-04 17:36:00,2022-10-04 18:59:00,None,5-10,,
101,CR-Fitchburg,465572, Fitchburg Line Train 426 (5:25 pm from Wachusett) is operating 5-10 minutes behind schedule between North Leominster and North Station.,2022-10-04 17:51:30,2022-10-04 19:59:00,None,5-10,,
102,CR-Fitchburg,465585, Fitchburg Line Train 425 (5:30 pm from North Station) is operating 5-15 minutes behind schedule between Littleton/Route 495 and Wachusett. Fitchburg Line Train 425 (5:30 pm from North Station) is operating 5-15 minutes behind schedule between Littleton/Route 495 and Wachusett.,2022-10-04 18:38:25,2022-10-04 20:10:00,None,5-15,,
103,CR-Fitchburg,465588, Fitchburg Line Train 428 (6:25 pm from Wachusett) is operating 5-10 minutes behind schedule between Fitchburg and North Station.,2022-10-04 18:45:53,2022-10-04 20:59:00,None,5-10,,
104,CR-Haverhill,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
105,CR-Haverhill,465560, Haverhill Line Train 215 (4:25 pm from North Station) is operating 5-15 minutes behind schedule between Wakefield and Haverhill.,2022-10-04 17:06:03,2022-10-04 18:41:00,None,5-15,,
106,CR-Haverhill,465600, Haverhill Line Train 220 (6:57 pm from Haverhill) is operating 5-15 minutes behind schedule between Ballardvale and North Station.,2022-10-04 19:36:55,2022-10-04 21:07:00,None,5-15,,
107,CR-Haverhill,465601, Haverhill Line Train 219 (6:40 pm from North Station) is operating 5-10 minutes behind schedule between Ballardvale and Haverhill.,2022-10-04 19:38:16,2022-10-04 20:54:00,None,5-10,,
